2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\alg.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AMD\amdfendr\amdfendr.sys |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AMD\amdfendr\amdfendrmgr.sys |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdadlx64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdave64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdfendrsr.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdgfxinfo64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdhip64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdhip64_6.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdlogum.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdlvr64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdmiracast.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdmmcl.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdmmcl6.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdpcom64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdsacli64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdsasrv64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdsmi.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdtee_api.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amdxc64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amd_comgr.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amd_comgr_2.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amfrt64.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amsi.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amsiproxy.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\amstream.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\apds.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\APHostClient.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\APHostRes.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\APHostService.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\apisampling.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApiSetHost.AppExecutionAlias.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\apisetschema.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\APMon.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\APMonUI.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppContracts.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppExtension.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appfootprint.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\apphelp.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\Apphlpdm.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppHostRegistrationVerifier.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appidapi.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appidcertstorecheck.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appidpolicyconverter.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppIdPolicyEngineApi.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appidsvc.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appidtel.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appinfo.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\appinfoext.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppInstallerBackgroundUpdate.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AppInstallerPrompt.Desktop.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApplicationControlCSP.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApplicationFrame.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApplicationFrameHost.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\ApplicationTargetedFeatureDatabase.dll |  | DETECTED
